Step,Time,rx,ry,rz,qx,qy,qz,qw,momx,momy,momz,angx,angy,angz,veex,veey,veez,omgx,omgy,omgz
810000,2,0,0,0.045,0.45393475043796,-0.830921987140594,-0.0643239531553935,0.315236931024472,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174770103,5.08964881063714,-0.103511893632113
405000,2,0,0,0.045,0.453934750437096,-0.830921987139191,-0.0643239531581488,0.315236931028877,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174773692,5.08964881063645,-0.103511893636543
202500,2,0,0,0.045,0.453934750436787,-0.830921987135514,-0.0643239531634682,0.315236931037589,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174782384,5.08964881063576,-0.103511893639843
101250,1.99999999999596,0,0,0.045,0.453934750436427,-0.830921987131779,-0.0643239531694668,0.315236931046859,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174792254,5.08964881063547,-0.103511893646579
50625,2,0,0,0.045,0.453934750436369,-0.830921987132946,-0.0643239531677834,0.315236931044235,0,0,0,0,0.009,-0.0009,0,0,0,0.29113617478936,5.08964881063552,-0.103511893645329
25312,1.99999999999918,0,0,0.045,0.453934750436057,-0.830921987131988,-0.0643239531694536,0.315236931046884,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174791867,5.08964881063528,-0.103511893647508
12656,1.99999999999952,0,0,0.045,0.453934750436154,-0.830921987131928,-0.0643239531694301,0.31523693104687,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174791944,5.08964881063531,-0.103511893647066
6328,2,0,0,0.045,0.453934750436109,-0.830921987132129,-0.0643239531691621,0.315236931046487,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174791643,5.08964881063539,-0.103511893646878
3164,2,0,0,0.045,0.453934750434958,-0.830921987132971,-0.0643239531686345,0.315236931046461,0,0,0,0,0.009,-0.0009,0,0,0,0.291136174793446,5.08964881063652,-0.103511893647506
1582,1.99999999999997,0,0,0.045,0.453934750416599,-0.83092198714732,-0.0643239531590007,0.31523693104406,0,0,0,0,0.009,-0.0009,0,0,0,0.29113617482056,5.08964881065489,-0.103511893657061
791,2,0,0,0.045,0.453934750124768,-0.83092198737763,-0.0643239530017939,0.315236931001608,0,0,0,0,0.009,-0.0009,0,0,0,0.291136175255635,5.08964881095169,-0.103511893799268
395,2,0,0,0.045,0.453934745473482,-0.830921991064497,-0.0643239504526936,0.315236930312025,0,0,0,0,0.009,-0.0009,0,0,0,0.29113618241649,5.08964881581513,-0.103511895865862
197,2,0,0,0.045,0.453934671629091,-0.830922050128518,-0.0643239085816201,0.315236918924788,0,0,0,0,0.009,-0.0009,0,0,0,0.291136303356217,5.08964889730109,-0.103511922328305
98,2,0,0,0.045,0.453933507744926,-0.830922998010582,-0.0643232040365219,0.315236726072151,0,0,0,0,0.009,-0.0009,0,0,0,0.291138446069557,5.08965032047168,-0.103512136571507
49,2,0,0,0.045,0.453916117816875,-0.830937656568841,-0.0643113706515586,0.315233491927741,0,0,0,0,0.009,-0.0009,0,0,0,0.291177707650748,5.08967580444035,-0.103509320882351
24,2,0,0,0.045,0.453640900002398,-0.831182111970956,-0.0640891395225634,0.315175788248565,0,0,0,0,0.009,-0.0009,0,0,0,0.292009114549243,5.09019873108063,-0.103294161921099
12,2,0,0,0.045,0.448902334979388,-0.835163183729825,-0.0605412226815044,0.314396344829092,0,0,0,0,0.009,-0.0009,0,0,0,0.304957236476589,5.09818175283772,-0.0999127731923578
6,2,0,0,0.045,0.345818673138891,-0.889448720574227,-0.0413197045292886,0.304238775086605,0,0,0,0,0.009,-0.0009,0,0,0,0.186539669032888,5.04994312947421,-0.287750063982585
3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
